listing_id,end_time,settle_time,listing_type,listing_state,horse_id,horse_name,horse_gender,hex_color,generation,bloodline,complete_rating,breeding_slots,winning_bid_amount,winning_bidder,total_bids,user_id
b437b71c-42e5-40d1-a15c-0e162faa6b94,2025-07-01T05:01:58+00:00,2025-07-01T05:01:58+00:00,STUD_AUCTION,ACTIVE,654b3f4a-e793-4a6b-8059-e78193765db9,MyFree 10 buck horse,MALE,F44336,0,NAKAMOTO,3.0,0,1020.0,Nakagold OrHo,1,8a576834-8b70-491e-adde-0465ebf933d2
b8ad6ed3-05a6-433a-ba44-5f57cb315ac7,2025-07-01T05:00:39+00:00,2025-07-01T05:00:39+00:00,STUD_AUCTION,ACTIVE,191f2e36-5194-40c8-bf50-fa7e5e77a20a,Kizaru,MALE,FFFF00,0,BUTERIN,3.5,0,0.0,,0,f66b08b0-95be-4aa0-a599-06b4d551ca31
b5b635b7-61ed-450b-8fde-3ca1ed514610,2025-07-01T04:59:36+00:00,2025-07-01T04:59:36+00:00,STUD_AUCTION,ACTIVE,3ce9c824-ada6-478a-88b0-43fc55669b45,Kakarot,MALE,26C6DA,2,SZABO,3.0,0,0.0,,0,824e9e1b-846b-4370-84f8-f2b37afa9889
7674fd63-0692-4680-abd9-a0c06d26ef81,2025-07-01T04:53:35+00:00,2025-07-01T04:53:35+00:00,STUD_AUCTION,ACTIVE,f5076471-bb3c-45a2-a1d0-d11873065a20,Warm Legacy,MALE,FBC02D,0,BUTERIN,3.0,1,0.0,,0,328ba543-ed3d-47f6-8a5f-541387f38514
89f8c34e-784f-4d12-b1d0-f7a8a4ba150e,2025-07-01T04:53:20+00:00,2025-07-01T04:53:20+00:00,STUD_AUCTION,ACTIVE,46ced895-a6fe-4d08-8564-2163355556fd,Secure Veranda,MALE,81D4FA,5,SZABO,3.5,0,0.0,,0,328ba543-ed3d-47f6-8a5f-541387f38514
71d6e5d0-066a-4291-9997-dd00c5e3d0dc,2025-07-01T04:43:35+00:00,2025-07-01T04:43:35+00:00,STUD_AUCTION,ACTIVE,f24d7b8c-abba-4923-a81e-2b438d8ccae2,Primary Priority,MALE,7B1FA2,0,FINNEY,2.5,0,0.0,,0,262609b6-3a20-49f2-b369-765dd42db24f
b4e4fcbc-4d1e-4195-8027-20dd8cc96df7,2025-07-01T04:42:09+00:00,2025-07-01T04:42:09+00:00,STUD_AUCTION,ACTIVE,4ed51b33-76a2-492a-990f-3d20a069aad0,Piercing Phase,MALE,FDD835,0,BUTERIN,2.5,0,0.0,,0,262609b6-3a20-49f2-b369-765dd42db24f
fb94c86d-8bb8-42e3-b6cd-cdcdbd8be8a3,2025-07-01T04:21:58+00:00,2025-07-01T04:21:58+00:00,STUD_AUCTION,ACTIVE,c30231ad-0ed3-44ba-948b-dba3534176e2,Taco Tuesday,MALE,FDD835,5,NAKAMOTO,3.5,0,0.0,,0,582b401b-abb1-4dce-88f6-7e8cbde5fbd0
f1c334bf-92b4-424b-bc21-83ba39242337,2025-07-01T04:16:03+00:00,2025-07-01T04:16:03+00:00,STUD_AUCTION,ACTIVE,2638f0b7-911b-4426-a94c-c9aff9b1d052,Refreshing Topaz,MALE,FFF9C4,3,SZABO,3.5,0,0.0,,0,582b401b-abb1-4dce-88f6-7e8cbde5fbd0
6710bce3-104a-4e9b-8c71-96a0c44874e2,2025-07-01T03:59:27+00:00,2025-07-01T03:59:27+00:00,STUD_AUCTION,ACTIVE,774f43b3-97b8-48a0-84fd-d17db17930ab,Optimistic Bagel,MALE,F44336,2,NAKAMOTO,3.5,1,0.0,,0,f6b2a12d-b2de-4e7a-8a00-5213e3158b88
